,city,state_id,lng,lat,Location
98,Harrisburg,PA,-76.8843,40.2752,"Harrisburg, PA"
99,Little Rock,AR,-92.3576,34.7256,"Little Rock, AR"
100,Oakland,CA,-122.2165,37.7903,"Oakland, CA"
101,Durham,NC,-78.9031,35.9794,"Durham, NC"
102,Winston-Salem,NC,-80.2611,36.1029,"Winston-Salem, NC"
103,Bonita Springs,FL,-81.7861,26.3559,"Bonita Springs, FL"
104,Indio,CA,-116.2346,33.7346,"Indio, CA"
105,Palm Coast,FL,-81.246,29.5392,"Palm Coast, FL"
106,Chattanooga,TN,-85.2488,35.0657,"Chattanooga, TN"
107,Spokane,WA,-117.433,47.6671,"Spokane, WA"
108,Syracuse,NY,-76.1438,43.0409,"Syracuse, NY"
109,Lancaster,PA,-76.3012,40.0421,"Lancaster, PA"
110,Arlington,TX,-97.125,32.6998,"Arlington, TX"
111,Stockton,CA,-121.3109,37.9765,"Stockton, CA"
112,Poughkeepsie,NY,-73.921,41.6949,"Poughkeepsie, NY"
113,Augusta,GA,-82.0708,33.3645,"Augusta, GA"
114,Boise,ID,-116.2312,43.6007,"Boise, ID"
115,Oxnard,CA,-119.1815,34.1963,"Oxnard, CA"
116,Scranton,PA,-75.6649,41.4044,"Scranton, PA"
117,Modesto,CA,-121.0028,37.6374,"Modesto, CA"
118,Kissimmee,FL,-81.4164,28.3042,"Kissimmee, FL"
119,Aurora,CO,-104.7273,39.7087,"Aurora, CO"
120,Youngstown,OH,-80.6463,41.0993,"Youngstown, OH"
121,Fayetteville,AR,-94.166,36.0713,"Fayetteville, AR"
122,Anaheim,CA,-117.8572,33.839,"Anaheim, CA"
123,Pensacola,FL,-87.1886,30.4427,"Pensacola, FL"
124,Victorville,CA,-117.3536,34.5277,"Victorville, CA"
125,Lancaster,CA,-118.1753,34.6935,"Lancaster, CA"
126,Greensboro,NC,-79.8269,36.0956,"Greensboro, NC"
127,Corpus Christi,TX,-97.3755,27.726,"Corpus Christi, TX"
128,Fort Wayne,IN,-85.1437,41.0886,"Fort Wayne, IN"
129,Santa Ana,CA,-117.8819,33.7366,"Santa Ana, CA"
130,Flint,MI,-83.6922,43.0235,"Flint, MI"
131,San Juan,PR,-66.0636,18.4037,"San Juan, PR"
132,Fayetteville,NC,-78.9776,35.0846,"Fayetteville, NC"
133,Jackson,MS,-90.2124,32.3163,"Jackson, MS"
134,Santa Rosa,CA,-122.7067,38.4458,"Santa Rosa, CA"
135,Lansing,MI,-84.5601,42.7142,"Lansing, MI"
136,Ann Arbor,MI,-83.7312,42.2755,"Ann Arbor, MI"
137,Henderson,NV,-115.038,36.0133,"Henderson, NV"
138,Huntsville,AL,-86.6412,34.6988,"Huntsville, AL"
139,Lexington,KY,-84.4587,38.0423,"Lexington, KY"
140,Mobile,AL,-88.1162,30.6783,"Mobile, AL"
141,Fort Collins,CO,-105.0656,40.5478,"Fort Collins, CO"
142,Asheville,NC,-82.5536,35.5704,"Asheville, NC"
143,Santa Clarita,CA,-118.4964,34.4175,"Santa Clarita, CA"
144,St. Paul,MN,-93.104,44.9477,"St. Paul, MN"
145,Antioch,CA,-121.7958,37.9789,"Antioch, CA"
146,Lakeland,FL,-81.9545,28.0556,"Lakeland, FL"
147,Trenton,NJ,-74.7641,40.2236,"Trenton, NJ"
148,Lincoln,NE,-96.6788,40.809,"Lincoln, NE"
149,Springfield,MO,-93.2916,37.1943,"Springfield, MO"
150,Plano,TX,-96.7487,33.0502,"Plano, TX"
151,Irvine,CA,-117.7738,33.6772,"Irvine, CA"
152,Davenport,IA,-90.6052,41.5563,"Davenport, IA"
153,Rockford,IL,-89.0641,42.2597,"Rockford, IL"
154,Newark,NJ,-74.1725,40.7245,"Newark, NJ"
155,South Bend,IN,-86.2696,41.6767,"South Bend, IN"
156,Shreveport,LA,-93.7956,32.4656,"Shreveport, LA"
157,Round Lake Beach,IL,-88.0811,42.379,"Round Lake Beach, IL"
158,Savannah,GA,-81.1784,32.0281,"Savannah, GA"
159,Myrtle Beach,SC,-78.8843,33.7096,"Myrtle Beach, SC"
160,Chula Vista,CA,-117.0145,32.6281,"Chula Vista, CA"
161,Eugene,OR,-123.1173,44.0563,"Eugene, OR"
162,Canton,OH,-81.3677,40.8075,"Canton, OH"
163,Lubbock,TX,-101.8878,33.5659,"Lubbock, TX"
164,Reading,PA,-75.9267,40.34,"Reading, PA"
165,Winter Haven,FL,-81.7017,28.0118,"Winter Haven, FL"
166,Salem,OR,-123.0246,44.9231,"Salem, OR"
167,St. Petersburg,FL,-82.6652,27.7931,"St. Petersburg, FL"
168,Lafayette,LA,-92.0323,30.2084,"Lafayette, LA"
169,Laredo,TX,-99.4875,27.5629,"Laredo, TX"
170,Jersey City,NJ,-74.0682,40.7161,"Jersey City, NJ"
171,Concord,NC,-80.6366,35.3933,"Concord, NC"
172,Columbus,GA,-84.8771,32.51,"Columbus, GA"
173,Chandler,AZ,-111.8516,33.2826,"Chandler, AZ"
174,McKinney,TX,-96.6669,33.2015,"McKinney, TX"
175,Scottsdale,AZ,-111.8651,33.6872,"Scottsdale, AZ"
176,Killeen,TX,-97.7296,31.0754,"Killeen, TX"
177,Tallahassee,FL,-84.2526,30.4551,"Tallahassee, FL"
178,Peoria,IL,-89.6153,40.752,"Peoria, IL"
179,Wilmington,NC,-77.8866,34.21,"Wilmington, NC"
180,Montgomery,AL,-86.2666,32.3473,"Montgomery, AL"
181,Gilbert,AZ,-111.7463,33.3101,"Gilbert, AZ"
182,Glendale,AZ,-112.2311,33.5791,"Glendale, AZ"
183,North Las Vegas,NV,-115.0901,36.288,"North Las Vegas, NV"
184,Anchorage,AK,-149.1091,61.1508,"Anchorage, AK"
185,Chesapeake,VA,-76.3024,36.6778,"Chesapeake, VA"
186,Barnstable Town,MA,-70.3599,41.6722,"Barnstable Town, MA"
187,Norfolk,VA,-76.259,36.8945,"Norfolk, VA"
188,Fremont,CA,-121.9852,37.5265,"Fremont, CA"
189,Kennewick,WA,-119.1732,46.1978,"Kennewick, WA"
190,Garland,TX,-96.6305,32.91,"Garland, TX"
191,Irving,TX,-96.9702,32.8584,"Irving, TX"
192,Visalia,CA,-119.3269,36.3276,"Visalia, CA"
193,Atlantic City,NJ,-74.4527,39.3797,"Atlantic City, NJ"
194,Nashua,NH,-71.491,42.7491,"Nashua, NH"
195,Paradise,NV,-115.1369,36.0807,"Paradise, NV"
196,Hialeah,FL,-80.3046,25.8696,"Hialeah, FL"
197,York,PA,-76.7315,39.9651,"York, PA"
198,Arlington,VA,-77.1011,38.8786,"Arlington, VA"
199,Evansville,IN,-87.5341,37.9881,"Evansville, IN"
200,Avondale,AZ,-112.3236,33.3858,"Avondale, AZ"
201,Brownsville,TX,-97.4565,25.998,"Brownsville, TX"
202,Gulfport,MS,-89.0703,30.4271,"Gulfport, MS"
203,Appleton,WI,-88.3891,44.2779,"Appleton, WI"
204,Bremerton,WA,-122.7122,47.5436,"Bremerton, WA"
205,Hickory,NC,-81.323,35.7425,"Hickory, NC"
206,Tacoma,WA,-122.4531,47.2431,"Tacoma, WA"
207,San Bernardino,CA,-117.2946,34.1417,"San Bernardino, CA"
208,College Station,TX,-96.296,30.5852,"College Station, TX"
209,Kalamazoo,MI,-85.5882,42.2749,"Kalamazoo, MI"
210,Thousand Oaks,CA,-118.8755,34.1914,"Thousand Oaks, CA"
211,Roanoke,VA,-79.958,37.2785,"Roanoke, VA"
212,Fontana,CA,-117.4599,34.0968,"Fontana, CA"
213,Moreno Valley,CA,-117.2045,33.9244,"Moreno Valley, CA"
214,North Port,FL,-82.1975,27.0577,"North Port, FL"
215,Fargo,ND,-96.8292,46.8652,"Fargo, ND"
216,Green Bay,WI,-87.9896,44.515,"Green Bay, WI"
217,Amarillo,TX,-101.8311,35.1988,"Amarillo, TX"
218,Portland,ME,-70.2715,43.6773,"Portland, ME"
219,Santa Barbara,CA,-119.7202,34.4285,"Santa Barbara, CA"
220,Gainesville,FL,-82.3458,29.6804,"Gainesville, FL"
221,Olympia,WA,-122.8959,47.0417,"Olympia, WA"
222,Frisco,TX,-96.8215,33.1555,"Frisco, TX"
223,Yonkers,NY,-73.8674,40.9466,"Yonkers, NY"
224,Norwich,CT,-72.0882,41.5495,"Norwich, CT"
225,Spring Valley,NV,-115.2619,36.0987,"Spring Valley, NV"
226,Glendale,CA,-118.2468,34.1818,"Glendale, CA"
227,Huntington Beach,CA,-118.0025,33.696,"Huntington Beach, CA"
228,Deltona,FL,-81.2137,28.905,"Deltona, FL"
229,Aurora,IL,-88.2901,41.7637,"Aurora, IL"
230,Tempe,AZ,-111.9318,33.3881,"Tempe, AZ"
231,Overland Park,KS,-94.687,38.887,"Overland Park, KS"
232,Grand Prairie,TX,-97.0209,32.6872,"Grand Prairie, TX"
233,Sunrise Manor,NV,-115.049,36.1785,"Sunrise Manor, NV"
234,Waco,TX,-97.1881,31.5598,"Waco, TX"
235,Salinas,CA,-121.6317,36.6884,"Salinas, CA"
236,Waterbury,CT,-73.0361,41.5583,"Waterbury, CT"
237,Clarksville,TN,-87.342,36.5695,"Clarksville, TN"
238,Cedar Rapids,IA,-91.6782,41.9665,"Cedar Rapids, IA"
239,Sioux Falls,SD,-96.732,43.5397,"Sioux Falls, SD"
240,Huntington,WV,-82.4344,38.4109,"Huntington, WV"
241,Ontario,CA,-117.6064,34.0393,"Ontario, CA"
242,Hagerstown,MD,-77.7217,39.6401,"Hagerstown, MD"
243,Erie,PA,-80.0733,42.1168,"Erie, PA"
244,Vancouver,WA,-122.5967,45.6366,"Vancouver, WA"
245,Nampa,ID,-116.5631,43.5845,"Nampa, ID"
246,Spartanburg,SC,-81.9257,34.9437,"Spartanburg, SC"
247,Gastonia,NC,-81.1853,35.2494,"Gastonia, NC"
248,Fort Lauderdale,FL,-80.1464,26.1412,"Fort Lauderdale, FL"
249,Lorain,OH,-82.184,41.4409,"Lorain, OH"
250,Murfreesboro,TN,-86.4119,35.8492,"Murfreesboro, TN"
251,High Point,NC,-79.9938,35.9907,"High Point, NC"
252,Newport News,VA,-76.5185,37.1051,"Newport News, VA"
253,Rancho Cucamonga,CA,-117.5666,34.1248,"Rancho Cucamonga, CA"
254,Hemet,CA,-116.9969,33.7341,"Hemet, CA"
255,Santa Cruz,CA,-122.0346,36.9789,"Santa Cruz, CA"
256,Danbury,CT,-73.471,41.4016,"Danbury, CT"
257,Peoria,AZ,-112.2989,33.7844,"Peoria, AZ"
258,Oceanside,CA,-117.3083,33.2247,"Oceanside, CA"
259,Elk Grove,CA,-121.3842,38.416,"Elk Grove, CA"
260,Pembroke Pines,FL,-80.3382,26.0128,"Pembroke Pines, FL"
261,Vallejo,CA,-122.2358,38.1133,"Vallejo, CA"
262,Garden Grove,CA,-117.9601,33.7787,"Garden Grove, CA"
263,Medford,OR,-122.8537,42.3372,"Medford, OR"
264,Cary,NC,-78.8191,35.782,"Cary, NC"
265,Marysville,WA,-122.1561,48.0809,"Marysville, WA"
266,Corona,CA,-117.5649,33.8616,"Corona, CA"
267,Ocala,FL,-82.1511,29.178,"Ocala, FL"
268,Fredericksburg,VA,-77.4872,38.2992,"Fredericksburg, VA"
269,Gainesville,GA,-83.8301,34.2903,"Gainesville, GA"
270,Bayamón,PR,-66.1635,18.3793,"Bayamón, PR"
271,Enterprise,NV,-115.2208,36.0164,"Enterprise, NV"
272,Manchester,NH,-71.4447,42.9848,"Manchester, NH"
273,Champaign,IL,-88.2735,40.1144,"Champaign, IL"
274,Alexandria,VA,-77.0861,38.8185,"Alexandria, VA"
275,Hayward,CA,-122.0772,37.6328,"Hayward, CA"
276,Springfield,IL,-89.6538,39.771,"Springfield, IL"
277,Lakewood,CO,-105.1168,39.6977,"Lakewood, CO"
278,Lafayette,IN,-86.8594,40.399,"Lafayette, IN"
279,Frederick,MD,-77.4141,39.4336,"Frederick, MD"
280,Lake Charles,LA,-93.2122,30.2012,"Lake Charles, LA"
281,Odessa,TX,-102.3406,31.8831,"Odessa, TX"
282,Tuscaloosa,AL,-87.5267,33.2348,"Tuscaloosa, AL"
283,Warner Robins,GA,-83.6529,32.597,"Warner Robins, GA"
284,Palmdale,CA,-118.1057,34.5944,"Palmdale, CA"
285,Hollywood,FL,-80.1679,26.0294,"Hollywood, FL"
286,Midland,TX,-102.1137,32.0249,"Midland, TX"
287,Leesburg,FL,-81.8996,28.7657,"Leesburg, FL"
288,Port Arthur,TX,-93.9264,29.8554,"Port Arthur, TX"
289,Muskegon,MI,-86.2563,43.2281,"Muskegon, MI"
290,Macon,GA,-83.6974,32.8065,"Macon, GA"
291,Kansas City,KS,-94.7443,39.1234,"Kansas City, KS"
292,Sunnyvale,CA,-122.0256,37.3836,"Sunnyvale, CA"
293,Pomona,CA,-117.7626,34.0585,"Pomona, CA"
294,Escondido,CA,-117.0722,33.1347,"Escondido, CA"
295,Pasadena,TX,-95.1499,29.6583,"Pasadena, TX"
296,New Bedford,MA,-70.9428,41.6697,"New Bedford, MA"
297,Fairfield,CA,-122.0324,38.2592,"Fairfield, CA"
298,Naperville,IL,-88.1657,41.7483,"Naperville, IL"
299,Bellevue,WA,-122.1535,47.5951,"Bellevue, WA"
300,Binghamton,NY,-75.9093,42.1014,"Binghamton, NY"
301,Elkhart,IN,-85.9628,41.6916,"Elkhart, IN"
302,Topeka,KS,-95.6955,39.0346,"Topeka, KS"
303,Joliet,IL,-88.1499,41.5189,"Joliet, IL"
304,Beaumont,TX,-94.1451,30.0849,"Beaumont, TX"
305,Paterson,NJ,-74.1624,40.9147,"Paterson, NJ"
306,Merced,CA,-120.4778,37.3057,"Merced, CA"
307,Pueblo,CO,-104.6112,38.2705,"Pueblo, CO"
308,Tyler,TX,-95.3062,32.3184,"Tyler, TX"
309,Torrance,CA,-118.3417,33.8346,"Torrance, CA"
310,Metairie,LA,-90.178,29.9977,"Metairie, LA"
311,Yuma,AZ,-114.5488,32.5992,"Yuma, AZ"
312,Surprise,AZ,-112.4524,33.68,"Surprise, AZ"
313,Columbia,MO,-92.3256,38.9478,"Columbia, MO"
314,Athens,GA,-83.3689,33.9508,"Athens, GA"
315,Roseville,CA,-121.3196,38.7703,"Roseville, CA"
316,Thornton,CO,-104.9438,39.9197,"Thornton, CO"
317,Miramar,FL,-80.3351,25.9773,"Miramar, FL"
318,Pasadena,CA,-118.139,34.1597,"Pasadena, CA"
319,Mesquite,TX,-96.5889,32.7623,"Mesquite, TX"
320,Santa Maria,CA,-120.4432,34.9334,"Santa Maria, CA"
321,Olathe,KS,-94.8198,38.8832,"Olathe, KS"
322,Houma,LA,-90.7058,29.5799,"Houma, LA"
323,Carolina,PR,-65.9792,18.4054,"Carolina, PR"
324,Carrollton,TX,-96.8999,32.989,"Carrollton, TX"
325,Grand Junction,CO,-108.5673,39.0876,"Grand Junction, CO"
326,Charleston,WV,-81.6323,38.3484,"Charleston, WV"
327,Orange,CA,-117.8218,33.8038,"Orange, CA"
328,Fullerton,CA,-117.9279,33.8841,"Fullerton, CA"
329,Greeley,CO,-104.7706,40.4151,"Greeley, CO"
330,Las Cruces,NM,-106.7892,32.3265,"Las Cruces, NM"
331,Panama City,FL,-85.6004,30.1995,"Panama City, FL"
332,Harlingen,TX,-97.6976,26.1917,"Harlingen, TX"
333,West Valley City,UT,-112.0115,40.6889,"West Valley City, UT"
334,Hampton,VA,-76.363,37.0551,"Hampton, VA"
335,Warren,MI,-83.027,42.4934,"Warren, MI"
336,Mauldin,SC,-82.3005,34.7849,"Mauldin, SC"
337,Bloomington,IL,-88.9703,40.4757,"Bloomington, IL"
338,Coral Springs,FL,-80.2591,26.2702,"Coral Springs, FL"
339,Round Rock,TX,-97.666,30.5254,"Round Rock, TX"
